,name,studio,domestic_gross_x,foreign_gross,year,movie_id,original_title_x,start_year,runtime_minutes,genres,Unnamed: 0,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross_y,worldwide_gross
71,Unstoppable,Fox,81600000.0,86200000,2010,tt2951338,Unstoppable,2015,53.0,"Biography,Documentary,History",46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
72,Unstoppable,Fox,81600000.0,86200000,2010,tt2951338,Unstoppable,2015,53.0,"Biography,Documentary,History",10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
73,Unstoppable,Fox,81600000.0,86200000,2010,tt3070502,Unstoppable,2013,65.0,Documentary,46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
74,Unstoppable,Fox,81600000.0,86200000,2010,tt3070502,Unstoppable,2013,65.0,Documentary,10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
75,Unstoppable,Fox,81600000.0,86200000,2010,tt7098772,Unstoppable,2017,12.0,Documentary,46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
76,Unstoppable,Fox,81600000.0,86200000,2010,tt7098772,Unstoppable,2017,12.0,Documentary,10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
77,Unstoppable,Fox,81600000.0,86200000,2010,tt9225192,Seongnan hwangso,2018,116.0,"Action,Crime",46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
78,Unstoppable,Fox,81600000.0,86200000,2010,tt9225192,Seongnan hwangso,2018,116.0,"Action,Crime",10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
79,Unstoppable,Fox,81600000.0,86200000,2010,tt9499562,Unstoppable,2017,52.0,Documentary,46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
80,Unstoppable,Fox,81600000.0,86200000,2010,tt9499562,Unstoppable,2017,52.0,Documentary,10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
81,Unstoppable,Fox,81600000.0,86200000,2010,tt9906218,Unstoppable,2019,84.0,Documentary,46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
82,Unstoppable,Fox,81600000.0,86200000,2010,tt9906218,Unstoppable,2019,84.0,Documentary,10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
83,The Book of Eli,WB,94800000.0,62300000,2010,tt1037705,The Book of Eli,2010,118.0,"Action,Adventure,Drama",16,"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,6.7,3495,64,"Jan 15, 2010","$80,000,000","$94,835,059","$158,750,817"
