,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
576,The Raven,110.0,Mystery,6.4,en,The Raven,8.635,6.3,2012-04-27,26000000.0,30601801.0,Rela.,16000000.0,13600000.0
576,The Raven,110.0,Thriller,6.4,en,The Raven,8.635,6.3,2012-04-27,26000000.0,30601801.0,Rela.,16000000.0,13600000.0
577,5 Days of War,113.0,Action,5.6,en,5 Days of War,8.689,5.7,2011-08-19,12000000.0,87793.0,Anch.,17500.0,
577,5 Days of War,113.0,Drama,5.6,en,5 Days of War,8.689,5.7,2011-08-19,12000000.0,87793.0,Anch.,17500.0,
577,5 Days of War,113.0,War,5.6,en,5 Days of War,8.689,5.7,2011-08-19,12000000.0,87793.0,Anch.,17500.0,
578,Khumba,85.0,Adventure,5.7,en,Khumba,9.597,5.6,2013-12-06,15000000.0,20898221.0,MNE,1000.0,27200000.0
578,Khumba,85.0,Animation,5.7,en,Khumba,9.597,5.6,2013-12-06,15000000.0,20898221.0,MNE,1000.0,27200000.0
578,Khumba,85.0,Family,5.7,en,Khumba,9.597,5.6,2013-12-06,15000000.0,20898221.0,MNE,1000.0,27200000.0
579,The Change-Up,112.0,Comedy,6.3,en,The Change-Up,12.122,6.0,2011-08-05,52000000.0,75997067.0,Uni.,37100000.0,38400000.0
579,The Change-Up,112.0,Fantasy,6.3,en,The Change-Up,12.122,6.0,2011-08-05,52000000.0,75997067.0,Uni.,37100000.0,38400000.0
580,The Forest,98.0,Horror,3.5,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
580,The Forest,98.0,Thriller,3.5,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
581,The Forest,98.0,Horror,3.5,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
581,The Forest,98.0,Thriller,3.5,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
582,The Forest,98.0,Horror,3.5,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
582,The Forest,98.0,Thriller,3.5,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
583,The Forest,93.0,Horror,4.8,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
583,The Forest,93.0,Mystery,4.8,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
583,The Forest,93.0,Thriller,4.8,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
584,The Forest,93.0,Horror,4.8,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
584,The Forest,93.0,Mystery,4.8,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
584,The Forest,93.0,Thriller,4.8,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
585,The Forest,93.0,Horror,4.8,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
585,The Forest,93.0,Mystery,4.8,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
585,The Forest,93.0,Thriller,4.8,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
586,The Forest,72.0,Documentary,7.1,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
586,The Forest,72.0,History,7.1,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
587,The Forest,72.0,Documentary,7.1,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
587,The Forest,72.0,History,7.1,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
